CODGEO;P22_POP0014;P22_POP1529;P22_POP3044;P22_POP4559;P22_POP6074;P22_POP7589;P22_POP90P;P16_POP;P11_POP;C22_MENPSEUL;C22_MENFAM;C22_COUPAENF;C22_FAMMONO;C22_COUPSENF;P22_ACT1524;P22_ACT2554;P22_ACT5564;P22_CHOM1524;P22_CHOM2554;P22_CHOM5564;SNEMM_23;ENCTOT25;ENCTOT24;ENCTOT23;ENCTOT22;ENCITOT25;ETCTOT25;HT26;CPG26;VV26;RT26;AJCS26;ELECTEURSLP2024;BPE_2024_B105;BPE_2024_B201;BPE_2024_C201;BPE_2024_C301;BPE_2024_D307
01043;946.498625335773;749.631004377639;888.44360721933;1133.38410404861;770.209769754519;408.199891083757;39.632998180354;4557.0;4471.0;516.984776548287;1487.58879588018;677.189975748068;199.156350349463;626.01006012009;216.008905868233;1749.43527758495;442.317358378511;42.0842884987393;91.9796744193221;27.5342294475437;2891.0506274984;106.0;148.0;90.0;93.0;75.0;118.0;2.0;0.0;0.0;0.0;0.0;3873.0;7.0;0.0;1.0;0.0;1.0
01044;141.100460895767;98.8485076217003;149.79712795236;132.740630612857;80.5315195686898;53.1852507203991;12.796502628226;611.0;516.0;106.124782282172;181.696170085972;108.027089216335;13.0004260358182;60.6686548338184;31.2655263519915;260.697571040653;50.3653885920987;7.18546304723556;25.8686241939739;7.0383687371929;;14.0;9.0;5.0;3.0;10.0;14.0;1.0;0.0;0.0;0.0;0.0;453.0;0.0;0.0;0.0;0.0;0.0
01045;58.9762621477605;43.6608483317591;55.8916582146137;71.1408763820378;32.6035080465043;15.7719374813764;1.9549093959482;285.0;251.0;22.2436375189097;85.2280851579741;39.9417382112381;11.180371306605;39.9501841562441;15.5672055907631;114.78452522306;25.9257999633873;1.01348291267702;3.18981083294651;2.61524881353925;;0.0;2.0;3.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;209.0;0.0;0.0;0.0;0.0;0.0
01046;183.750501111668;134.923246502035;191.257293077246;188.48900140792;145.331258958408;45.7495512081557;7.49914773456863;857.0;807.0;91.664244179032;266.505924001785;142.586235076153;9.70088902151643;114.218799904116;50.1289737225401;337.702279110443;83.2290569239336;1.97462639332354;11.3440186958574;4.73619995261501;;6.0;15.0;11.0;8.0;3.0;9.0;0.0;0.0;0.0;0.0;0.0;655.0;0.0;0.0;0.0;0.0;0.0
01047;325.153379687738;218.183152449563;317.856053097026;309.416055126137;129.89394484276;41.8863437238187;8.61107107296148;992.999999999999;907.000000000001;101.741624405066;401.541497687189;236.741187952138;53.0693395376186;116.983550404826;55.3674766280128;604.754065714719;103.800059515245;10.6198211709033;35.1736217161299;9.67016281764469;;23.0;30.0;21.0;21.0;17.0;26.0;1.0;0.0;0.0;0.0;0.0;904.0;0.0;0.0;0.0;0.0;0.0
01049;732.874210213182;512.073705638909;694.285421464927;717.09100197533;493.17778046934;227.87789416064;23.6199860776734;3021.00000000001;2908.0;300.318301198873;994.691166909305;520.928678777612;92.4909462301444;386.351776592401;141.528208254668;1255.72864299639;265.199515018995;26.4405029011173;84.5668686611763;26.6106498506418;2771.31920430924;52.0;58.0;54.0;40.0;38.0;53.0;1.0;0.0;0.0;0.0;0.0;2410.0;1.0;0.0;0.0;1.0;1.0
01050;105.332360364307;54.7963554880794;103.049317653117;63.1799853374959;36.3110281895539;21.4834421774438;5.84751079000266;338.0;292.0;27.819738081617;113.789623504279;65.974665644447;19.1259831439329;28.6889747158993;16.4120621502005;141.122005727926;33.6930860119036;3.07759404729118;4.11082379530985;2.92375539500133;;4.0;4.0;3.0;0.0;4.0;5.0;0.0;0.0;0.0;0.0;0.0;255.0;0.0;0.0;0.0;0.0;0.0
01051;17.3009708737864;7.68932038834951;20.1844660194175;20.1844660194175;24.0291262135922;8.6504854368932;0.961165048543689;89.0;91.9999999999999;10.4210526315789;36.4736842105263;10.4210526315789;0.0;26.0526315789473;1.92233009708738;33.6407766990291;6.72815533980582;0.0;4.80582524271844;0.0;;0.0;2.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;69.0;0.0;0.0;0.0;0.0;0.0
01052;54.1700251757438;29.3144672310533;56.4363083687325;68.0525826202044;66.3033802547858;40.9929421122022;7.73029423727846;319.0;309.0;39.1145346164431;103.887784912509;43.1098675698449;5.06482644522202;55.7130908974422;5.09695729560644;100.994329307487;37.6990763119453;0.983324169930236;2.04231410989601;0.983324169930236;;1.0;2.0;5.0;4.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;270.0;0.0;0.0;0.0;0.0;0.0
01053;6825.73334961375;8652.57704736836;7266.27282285041;7415.252371025;6728.31999089655;4336.87204141843;839.972376827498;41365.0;39882.0;10834.9856019624;9898.44200868716;3428.45242030552;2297.33289876053;4211.69171883101;2784.93356835883;12559.9481599586;2715.38381396237;678.146475554972;1811.18141766976;357.898392235561;2438.93907626243;696.0;662.0;630.0;622.0;534.0;834.0;9.0;0.0;0.0;1.0;0.0;23059.0;7.0;1.0;7.0;4.0;14.0
01054;352.12909691569;211.3106270783;353.40851250319;326.559691776992;213.971450252186;72.6523901957282;9.96823127791482;1325.0;1201.0;110.315434287216;474.799107470615;238.91342665705;73.2867663746469;167.283402799543;66.9873412572491;609.068882840419;145.227829544321;7.75087477059719;18.3988587390582;3.9022218731695;;20.0;21.0;21.0;17.0;18.0;21.0;0.0;0.0;0.0;0.0;0.0;1116.0;0.0;0.0;0.0;0.0;0.0
01056;71.9548130518123;38.5694923694545;69.417326845132;79.5826685417294;67.3053320558989;30.3029496849554;4.86741745101735;354.000000000001;339.0;48.6523872790371;108.950879370855;40.0473771087455;14.8757430812271;54.0277591808823;12.8814882846176;131.344682626864;24.3927102993332;0.986488584886258;5.96657785364438;2.92229577729909;;4.0;0.0;3.0;2.0;4.0;4.0;0.0;0.0;0.0;0.0;0.0;333.0;0.0;0.0;0.0;0.0;0.0
01057;111.170709283413;56.6893057767888;105.871968524777;122.60956960853;73.0721327494545;35.4471475235819;4.13916653345398;515.0;497.999999999998;70.538558615895;141.162312532096;73.4825075303445;15.4668607833034;52.2129442184483;18.5224882968005;201.73293226274;30.7301242621568;2.95823200632174;6.03841944357472;2.08967552145304;;1.0;6.0;1.0;8.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;400.0;0.0;0.0;0.0;0.0;0.0
01058;154.098223889964;114.940119113767;145.525153972336;164.674071686043;152.609641560243;72.9914104610845;7.16137931656166;849.000000000001;861.999999999999;101.428923461667;247.456288657658;108.258108125995;20.1004102841486;119.097770247514;40.4348758080679;284.360419488715;55.9899248742668;7.98588202459029;22.6258186907992;2.0422044285547;;15.0;13.0;11.0;9.0;12.0;15.0;0.0;0.0;0.0;0.0;0.0;682.0;0.0;0.0;0.0;0.0;0.0
01060;90.3327603206096;79.6918344537213;90.1854032040605;103.758784571832;105.78229691404;60.7347202027886;16.5142003329484;522.000000000002;543.0;90.5075232881347;167.026689331236;63.9426968230486;23.320069356225;79.7639231519626;34.2393578978646;191.081993137607;41.2266738944275;1.90433627429751;11.3419285561963;1.91896784182981;;11.0;10.0;5.0;4.0;6.0;14.0;0.0;0.0;0.0;0.0;0.0;418.0;0.0;0.0;0.0;0.0;0.0
01061;186.955978229951;139.029600885348;185.149952024184;278.138885013632;266.00263420323;57.4242493490056;4.29870029464838;1169.0;1184.0;111.799177692103;362.580288034946;142.183293550201;20.5080011343968;199.888993350349;35.6045743821709;379.799292833131;117.393217589501;3.83185183376163;27.5309379716197;13.2173253241361;;14.0;10.0;18.0;13.0;14.0;16.0;0.0;0.0;0.0;0.0;0.0;957.0;0.0;0.0;0.0;0.0;0.0
01062;209.265497755897;139.327564006784;221.169312486409;207.867265246834;152.036198422755;66.8917615140133;6.44240056730781;891.0;742.0;84.6866322482782;310.856624094328;149.688399245044;37.3517532123153;123.816471636969;47.1716977813801;374.287697462877;89.6799788952408;5.72916410326762;19.8273914673695;8.5533428995796;;14.0;11.0;13.0;19.0;10.0;19.0;0.0;0.0;0.0;0.0;0.0;730.0;0.0;0.0;0.0;0.0;0.0
01063;100.0;81.0;99.0;132.0;110.0;65.0;4.0;515.0;522.0;81.8407079646018;179.026548672566;71.6106194690265;25.575221238938;81.8407079646018;28.0;195.0;46.0;5.0;14.0;3.0;;8.0;5.0;4.0;9.0;3.0;8.0;0.0;0.0;0.0;0.0;0.0;426.0;0.0;0.0;0.0;0.0;0.0
01064;241.290910238997;155.511522106617;238.9681058645;266.181102681025;159.831444293133;36.0742600415452;4.14265477418383;991.0;902.000000000003;156.614583808072;323.902759031175;144.67224233892;30.3112950280053;153.806625227936;54.2001105378458;460.773231152804;78.8649317531265;8.94112725000006;28.1428037305983;6.17148286100522;;18.0;19.0;16.0;18.0;15.0;20.0;0.0;0.0;0.0;0.0;0.0;840.0;1.0;0.0;1.0;0.0;0.0
