CODGEO;P22_POP;P16_POP;SUPERF;NAIS1621;DECE1621;P22_MEN;NAISD24;DECESD24;P22_LOG;P22_RP;P22_RSECOCC;P22_LOGVAC;P22_RP_PROP;NBMENFISC21;PIMP21;MED21;TP6021;P22_EMPLT;P22_EMPLT_SAL;P16_EMPLT;P22_POP1564;P22_CHOM1564;P22_ACT1564;ETTOT24;ETAZ24;ETBE24;ETFZ24;ETGU24;ETOQ24;ETTEF124;ETTEFP1024
01062;1003;891;7.73;65;25;395.429702506787;12;4;430.391649908764;395.429702506787;11.6539824673255;23.307964934651;283.877019563369;374;s;28710;s;204.986004651284;164.953017069453;196.504472390088;624.885746790107;34.1098984702167;511.139374139498;21;1;4;5;9;2;16;5
01063;591;515;4.48;28;25;258;1;3;286;258;4;24;191;246;s;25400;s;412.924779622644;376.952731737351;400.004477635797;339;22;269;28;0;9;5;10;4;19;8
01064;1102;991;12.29;77;35;477.27521117724;15;4;556.669303122529;477.27521117724;43.7685378672747;35.6255540780142;337.470189639594;470;s;23440;s;665.036450673683;605.615653588262;537.548579347469;736.421827757711;43.2554138416036;593.838273443776;26;0;2;4;15;5;16;7
01065;1884;1767;10.21;129;56;813.185872464996;16;12;848.405340131593;813.185872464996;8.53805276765984;26.681414898937;619.462817628892;794;s;26810;s;212.469469739616;144.889847252158;190.791943870844;1137.20920642948;52.3103780062842;923.534480540241;28;5;1;5;14;3;20;6
01066;97;71;10.82;4;8;44.685393258427;0;1;97.2327616794795;44.685393258427;52.5473684210524;0;35.9662921348315;s;s;s;s;6.41369320286868;1.08988764044944;7.03785390759463;61.0337078651686;5.4494382022472;38.1460674157304;3;0;1;0;1;1;2;0
01067;263;253;10.01;15;15;107.741540661697;3;2;130.911911032067;107.741540661697;11.0814814814815;12.0888888888889;74.0322144270104;103;s;25900;s;103.012965757688;90.9060429184769;95.6790433332071;188.936963540427;9.3228124909103;156.322320918494;6;0;1;1;3;1;2;3
01068;755;785;12.3;38;110;331.704346941998;4;17;455.259104572159;331.704346941998;54.8025134649908;68.7522441651702;237.769844328451;334;s;21410;s;160.746712668345;109.329542365719;151.576021496485;456.369766083369;40.486360434036;371.212647016891;15;2;1;1;7;4;12;2
01069;1518;1532;15.92;108;42;676.904313848711;7;7;707.823285453035;676.904313848711;11.3369562549186;19.5820153494048;475.060691725628;671;s;25570;s;410.250338709426;353.932923866062;331.785985839234;948.676348826936;48.185870725541;778.628012061672;44;5;8;4;25;2;29;13
01071;5570;4836;6.39;331;76;2305.68467094545;58;20;2551.15222565913;2305.68467094545;112.018923778067;133.448630935611;1478.85013200907;1961;63,0;42540;7,0;832.521708151489;673.801814356911;916.962532542708;3737.43593400029;220.176499082777;3147.95569356257;92;0;2;15;65;10;68;17
01072;3306;3138;9.36;180;223;1403.99912682767;19;45;1544.1916318633;1403.99912682767;40.9653423805416;99.2271626550897;938.937326761606;1392;63,0;25320;7,0;1338.17132581254;1166.85507274539;1078.31237442196;1944.24465222793;90.0714986563303;1530.76465386842;138;3;12;22;84;17;96;31
